delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_7,theta_7,lowalpha_7,highalpha_7,lowbeta_7,highbeta_7,lowgamma_7,midgamma_7,state
77242,15108,5801,3728,3890,1279,1041,329,41391,16750364,17610,15908,8889,6326,5153,2522,157204,22438,6520,3565,2732,2037,999,396,35234,94222,16747683,15429,15176,7751,3136,3424,11381,10136,4910,1782,3660,1787,1450,1025,27785,30817,2035,4671,2630,2251,2069,157,easy
576310,16776459,16751295,26012,2887,17705,18461,7392,29218,6077,1349,6414,1932,3655,1718,1642,52263,66613,9072,18358,10009,8975,3944,10350,29575,13911,5417,2716,3736,3527,2132,1068,30053,23714,11035,601,8229,14593,9311,7229,12228,72723,2664,5345,7356,9106,7860,5186,easy
30053,23714,11035,601,8229,14593,9311,7229,12228,72723,2664,5345,7356,9106,7860,5186,96925,16766206,5366,2975,6094,3296,957,895,92998,16766999,11963,13719,8210,8147,1486,220,594485,207704,14237,75525,16775417,16770126,16755124,27242,16744412,16751224,10025,7843,4012,2743,1125,1219,easy
92998,16766999,11963,13719,8210,8147,1486,220,594485,207704,14237,75525,16775417,16770126,16755124,27242,16744412,16751224,10025,7843,4012,2743,1125,1219,16758272,16775360,16750259,9108,12041,7687,6740,3908,46352,16753529,13322,4650,8768,5741,6149,3755,69448,76265,8050,5847,11184,12950,6854,6347,easy
69448,76265,8050,5847,11184,12950,6854,6347,478691,16766991,25091,11774,10736,15855,8235,9139,11139,8462,4884,6365,13011,16745569,7366,7441,12391,16760878,9219,13378,9035,17932,26211,3248,16747969,17436,17239,9599,4484,4829,1635,470,95253,16747198,16745439,3708,3801,7851,2541,1750,easy
12391,16760878,9219,13378,9035,17932,26211,3248,16747969,17436,17239,9599,4484,4829,1635,470,95253,16747198,16745439,3708,3801,7851,2541,1750,8169,16116,4188,5405,10185,12272,14363,7014,8579,16756732,20383,7592,18554,32178,10663,4595,852845,273577,48642,16751563,16745754,16745910,12322,26500,easy
347865,16767174,19038,3948,15880,12876,7695,2467,145682,33179,20268,16776715,15490,16746657,4577,6553,618185,78751,16750146,11394,14926,31685,16748828,28051,10789,10336,19060,15416,16757419,16539,30605,16620,18001,8646,17505,6429,22988,25864,4422,5776,6406,20527,8180,25151,5794,21594,6548,7859,easy
10789,10336,19060,15416,16757419,16539,30605,16620,18001,8646,17505,6429,22988,25864,4422,5776,6406,20527,8180,25151,5794,21594,6548,7859,16770150,5388,4157,689,1954,587,16777190,338,142636,16757002,3975,3410,13592,18458,7340,6401,257993,5900,4318,750,2364,4390,875,1353,easy
257993,5900,4318,750,2364,4390,875,1353,16746340,16762755,16752680,30239,17727,24137,13430,5417,6829,20703,7096,19827,13434,12564,12585,7427,24198,16766984,13408,20221,20071,9311,9810,5324,40746,144637,16752489,8281,5585,9405,5908,2463,1209366,223774,16763706,24581,15087,16747677,9703,5888,easy
65590,16768152,2199,11321,7932,8500,5027,3119,86757,13974,2724,4473,4951,4576,2461,2017,18139,25814,16748005,28553,10511,7894,9084,7431,25693,13290,15607,11494,9897,9285,5182,3805,16751693,16631,16746255,20417,13116,15262,9816,4445,209468,16761925,2701,13700,5652,5190,5034,2185,easy
5271,13713,11769,4007,16747933,21423,10993,5999,16749576,14911,5651,10008,7472,17312,8901,9220,11765,11047,6074,12607,15936,10722,7476,3813,72271,21742,6965,8324,16740,29755,13316,6118,1126366,227061,10964,16751739,17067,29597,20401,13440,12287,21622,10740,20319,16752283,13680,5909,7303,easy
1126366,227061,10964,16751739,17067,29597,20401,13440,12287,21622,10740,20319,16752283,13680,5909,7303,780969,62365,16771600,8378,17122,21593,28750,10220,549673,16751106,14493,8486,7569,13637,6128,6223,16751702,23523,8011,18149,14715,13195,5746,1381,169363,16758704,7019,5151,7484,4219,2001,1349,easy
10501,6006,184,5535,4236,5582,3101,2353,5796,19229,20338,19111,16744982,14332,17940,5011,4780,9323,14449,18279,5722,18102,14822,6728,96621,15156,25547,3370,4635,1837,980,1368,424634,16749483,4094,6313,4700,10574,5068,6293,628024,66199,17701,4645,9470,10778,6857,7158,easy
96621,15156,25547,3370,4635,1837,980,1368,424634,16749483,4094,6313,4700,10574,5068,6293,628024,66199,17701,4645,9470,10778,6857,7158,577187,16757200,17826,19630,6636,9600,3872,2187,16769529,19129,5680,2731,4471,2429,2363,555,107923,7208,7258,8332,3930,1332,1464,1750,easy
577187,16757200,17826,19630,6636,9600,3872,2187,16769529,19129,5680,2731,4471,2429,2363,555,107923,7208,7258,8332,3930,1332,1464,1750,37834,10192,7081,6099,3083,3617,1349,252,82260,16759605,21141,2172,2856,2648,1437,795,5804,14639,11786,6482,10128,17322,2655,5534,easy
5804,14639,11786,6482,10128,17322,2655,5534,85938,21732,10487,6987,8107,3035,1069,183,307989,16747073,3845,13163,5179,12226,18873,5116,293629,27536,1338,1983,2318,2557,1795,1826,21741,43937,5839,11658,7983,20953,6493,1780,16755641,13501,4021,3617,3632,2333,428,979,easy
293629,27536,1338,1983,2318,2557,1795,1826,21741,43937,5839,11658,7983,20953,6493,1780,16755641,13501,4021,3617,3632,2333,428,979,16760389,10744,2184,3919,4185,4208,2630,160,245457,158252,16748766,2321,7724,10655,6586,5081,837945,16760869,3705,11183,8613,24029,14024,4244,easy
68230,16754978,7606,5118,2971,2602,3001,686,11172,9295,178,3427,4434,3044,678,1789,42513,10902,5024,1993,1135,745,720,869,16773909,16761424,6469,2037,2208,7012,2324,1654,138896,94642,24055,23417,23930,12519,14452,2807,16754612,76755,9086,11936,5265,5862,3362,2752,easy
9594,10853,4950,6615,4603,10754,5133,10431,16747809,10159,6903,1586,3214,8283,2304,2109,87049,27321,20035,16750154,4945,10413,9446,3902,112878,19404,8274,26368,14074,15107,9119,9171,31875,31422,7499,767,6815,4968,6028,4970,79793,70389,11659,16751374,16745015,16456,13247,5338,easy
87049,27321,20035,16750154,4945,10413,9446,3902,112878,19404,8274,26368,14074,15107,9119,9171,31875,31422,7499,767,6815,4968,6028,4970,79793,70389,11659,16751374,16745015,16456,13247,5338,18835,15005,9629,3317,5136,5354,3341,3266,156780,17547,5681,9527,7590,3110,686,510,diff
23417,25673,19143,12635,7396,8046,5207,1813,122049,72325,27044,5779,7543,9697,2992,2581,11284,19172,2801,509,713,1817,708,555,16772046,14706,5448,2346,1786,2330,1073,433,16772608,27540,7334,1985,490,996,768,580,83588,23275,3117,2874,3625,1962,393,350,diff
83254,31575,2413,3396,1789,938,650,235,28810,16745022,19131,27788,9378,6588,1260,2321,16747102,20041,11215,3100,2903,12093,2537,1584,683,3111,513,1887,893,3070,724,607,4186,5495,2807,5867,6128,6192,2566,1095,23114,16762693,8825,15044,10930,11045,6186,2279,easy
16772049,10705,16117,10013,3681,4117,640,1029,278332,27120,1674,2550,2858,2912,1036,1397,70023,91650,26690,9185,10168,15497,5117,2040,19558,10888,7113,5810,9652,10048,1616,1529,138827,87187,21443,5060,4559,11499,6771,4107,16750148,23076,8354,9257,1740,2627,1038,609,easy
15626,20510,16745931,21168,25367,9150,13820,7323,2363,9967,32490,13521,5996,10437,12947,6742,714432,25501,4527,1203,1944,2112,1506,938,76806,10623,7390,2998,3015,5104,3068,132,203146,110928,1716,6871,3987,9177,7501,3115,96016,21609,3889,3721,5550,2003,1204,828,easy
286104,7703,10602,1330,7108,6510,3368,2898,94398,10597,1693,571,4500,4245,3852,1155,81332,16899,3061,747,4864,2868,1662,1848,136789,12171,6121,1849,3890,2000,4526,2101,84892,20425,11855,2781,1381,3843,2560,1419,22762,6452,3203,3308,2298,3416,3680,1723,easy
84892,20425,11855,2781,1381,3843,2560,1419,22762,6452,3203,3308,2298,3416,3680,1723,4945,4272,5646,1300,2770,5081,1066,1408,9420,5652,6524,3456,2604,4143,2577,1086,26997,20437,5809,3195,3140,2889,1572,1376,54410,16750579,11005,4199,20193,8320,6075,3306,easy
62766,111836,16758261,16745766,8431,10802,19564,3089,16496,11540,3690,4274,2888,7723,8427,2164,16763647,150787,7923,10639,14312,8953,4030,3927,92636,16770471,30805,24381,23139,7425,4460,6127,98014,71903,11272,4225,3755,3167,966,1086,16773703,11911,4268,2155,3719,3159,1043,514,diff
