delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
-353232,-282281,-1379,4151,436,-7391,-1646,11638,-61955,-338807,2047,753,-11613,-17496,-4975,4231,-580311,-356356,-15001,-15949,-23072,-28132,-9077,-3856,-635194,-339338,3197,-15609,-20430,-5503,331,248,1
-363607,-189188,-9430,-4544,-24829,-18391,-3158,-2972,-159720,-193551,-19252,-10207,-29686,-23634,-5255,-5201,-252383,-131017,-19399,-11660,-11131,-18181,-3024,-2904,-444398,-226222,-19794,-13535,-27814,-23978,-3583,-3790,0
161722,19135,3343,1860,4919,1713,181,-203,-38753,23750,-4890,1086,322,383,1547,-632,-51457,-4971,1108,2667,2077,19442,7595,8289,267832,-1384,-2190,-1540,2196,-1251,159,979,1
-1172784,-100583,-20658,-9675,-13708,-4046,-4482,-8645,-1124657,-56744,-460,-10097,-14514,3938,-3048,-6286,720286,-70105,-15778,-12728,-16620,-1611,-3628,-7078,436147,107280,66896,4998,6231,16834,13274,11980,0
-1485,-32925,-3376,4584,-609,-2425,-939,-866,-54618,-50132,-526,2321,853,127,-1131,-151,68153,76224,28218,18885,1407,8213,7609,3583,531915,17574,77612,79239,419,4705,4908,7762,0
839643,48333,24252,8855,-3837,3852,1355,1203,409295,-12758,-4099,3474,114,-2356,6347,4420,-251689,-19181,-2824,-1943,-9941,7929,-2659,4708,-248508,-28480,-15296,-5387,7180,7180,60023,22414,1
-715410,-133660,-16595,-65103,-25157,-24109,-8634,-27884,-42191,123560,-5485,-60461,-18746,6786,11147,-12167,-661907,-95870,-21255,-65210,-22610,-19319,-6993,-22367,-343169,-67179,6038,-52473,-7491,-18055,-4659,-23915,1
344667,563789,37348,-3589,6469,14862,8326,2438,453652,-84719,-41674,-4396,-12906,-9801,-2783,-5062,139455,224990,-38060,-12237,-9335,27801,9894,7323,-71856,-92899,-48784,-12137,-16967,-7013,-515,-1062,0
468948,18225,-1414,9577,1141,5287,6049,2150,19576,233550,40272,8029,9360,7133,11894,7278,522426,433129,29495,43341,48079,46121,115199,53735,261232,556779,75158,68781,14734,22410,33583,22434,0
221291,512859,18010,23383,12236,26563,32371,29972,-120992,264844,29558,6471,15387,24805,58173,23433,-508807,-155592,4833,-13918,-332,39608,43821,23916,-588585,-171966,-8753,-19122,3251,10397,17002,12260,0
564211,-388,-41270,-23282,-11720,-4476,-12816,-10130,2469167,-138616,-4355,4665,56016,-1355,-13816,-908,1425009,74651,7825,-14675,5981,9051,-8826,9976,-566106,-290908,-35065,-25295,-25407,-14285,-15737,-10177,0
-20607,-83857,-4983,-29487,-7748,-7777,-3654,-7086,-200028,-113129,-13295,-37081,-7293,-2296,4888,-4168,-89675,173554,9163,-32652,-3882,-2151,4665,-3906,86547,96572,8576,-22810,-3663,3215,20290,5838,1
