delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
226742,37811,26484,45499,6949,5837,1840,1058,-218594,-9391,-20344,48333,858,1979,3105,154,-204595,-24946,-15848,22637,1194,8724,870,1061,-210090,-29285,36520,117172,581,5092,2955,2351,-198906,-20659,15590,78056,14008,9182,336,600,-123356,-8174,-8974,32187,22081,7770,1536,1550,easy
13337,14919,74370,133421,12517,12776,2857,1634,2332,-5000,-55249,70509,-10052,-962,-87,515,-8194,111,20316,-91186,9511,46,56,273,4695,12952,-28579,40165,-5021,8764,-336,1484,456095,15199,-63032,-90510,-8611,178,-682,-777,2582,15438,-43995,37173,3493,23554,8577,8130,difficult
738331,178254,61474,42762,22669,20394,16259,9301,-715749,-151476,-47798,80889,-20671,-12584,-8764,-6132,-730603,-170934,-25637,59591,-19085,1376,-11663,-7732,-664005,-158846,80306,-1429,-16894,-5811,-13435,-7007,228817,-153895,-47520,-32608,-14243,-12648,-10396,-6030,-588064,-167652,-58167,-36287,-18981,-17583,-12767,-6642,easy
10222,10320,48440,154563,8852,11422,1832,2856,2217,15465,11511,-61747,-3250,-1511,1391,-1708,-2024,17743,24832,50717,-1569,4340,746,-664,11177,8928,-35946,-16426,3219,4012,-99,-962,11426,15022,21487,74182,4276,-3104,-324,-1733,646540,80815,28719,-27054,12735,12121,1558,-1894,difficult
70415,41622,26502,33654,18973,11065,3885,3006,-56477,-1634,7825,90805,18718,9440,-2030,504,-66496,-34222,42093,30574,-2572,2982,-937,-1985,-64856,-26327,48849,54777,-10423,2727,-755,72,-63284,6250,-8409,24965,-8279,-531,-2605,-747,-1921,-34550,-12692,-24329,-16315,-6367,-3206,-2805,easy
105448,25492,6877,2049,3162,2360,648,814,-85134,-13671,-2664,7180,3998,1182,1036,56,121276,93621,21132,21124,745,-75,1148,-28,-71740,8933,23209,129355,4789,8838,2978,778,1231980,110921,35416,32765,7972,33951,1897,7850,-43855,-5258,4514,4803,-373,1440,1012,1101,difficult
79585,22462,14591,32111,11245,6144,3110,1210,-64689,-14804,14820,49371,-9142,5213,-1377,-49,-69487,-13493,89493,210537,550,895,1151,-278,-57378,2889,53376,95174,8352,4045,-701,1061,-71924,-17564,10295,-9254,-8579,-1214,-2293,-977,-68600,-2270,17205,14464,932,10403,-805,658,easy
15146,14042,58705,75953,6493,9159,2788,1704,51767,38616,-20427,53318,2686,13522,-1704,-334,6576,2758,49295,15797,2062,1918,2136,218,4925,-6634,-14225,79077,841,1896,-1065,221,591584,131783,-34087,-57857,5439,1526,-740,-684,78314,-7245,-56791,-75187,-6145,-8202,-2573,-1555,difficult
48779,27271,6777,5003,8187,26217,28341,16977,-38193,8816,3013,655,-1069,-231,-8703,6222,-11325,-11059,5213,-2642,-3699,-13301,-24177,-14919,516521,97270,16890,13778,5734,-9849,-595,3361,1470140,90008,50108,84401,24937,3711,274,-2308,-46360,-18524,368,5082,6118,-5030,-9283,-1315,easy
125550,29724,12753,120590,16189,10521,3201,2986,81915,3210,-8761,-11482,7300,1919,250,49,-118290,-17864,51646,-10888,-10455,5738,317,-1579,-120468,-22924,40920,-63906,-9798,17103,-1755,-1742,-41926,-14534,-8552,-111717,-8021,-7559,-2464,-2528,251691,9300,-252,-110661,-9865,-6223,-2116,-2738,difficult
70925,23879,27557,66151,13136,9786,4976,2543,-20966,8770,43813,10548,-3807,3405,-1907,1883,-44950,-8741,7834,53769,-2503,126,-3141,-530,-21977,4300,67242,36169,-11478,7990,-1512,-1073,85489,22820,33126,-3439,2092,534,-1837,-1265,78465,-17797,-21280,-65232,-10718,-9096,-4227,-1841,easy
