delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
550592,182862,30890,22732,30740,38381,-520655,-165255,27895,-11200,-15853,-16468,-485217,-112482,22762,-13874,-5977,-21172,-98102,-84195,4860,-4282,-24074,-20733,35438,387115,52773,28287,-5133,-17902,-2674,9592,9876,-18097,-4704,439,easy
1186746,133099,13089,17335,14781,18365,125372,-73775,8284,19972,27198,-9927,-856267,-95654,8548,-2389,-5487,21998,1527524,481823,28909,52426,122303,66018,-981639,2383791,-21879,577477,264,20361,-22361,54815,-32685,127790,31925,44020,difficult
325279,24843,4771,11207,11746,12300,-310992,-5821,4382,12999,-928,23134,82474,16295,20624,7415,1512,17319,82474,16295,20624,7415,1512,17319,393466,0,22116,0,16242,0,-5584,0,2440,0,-5815,0,easy
1136359,218225,30196,59861,22724,77472,-515003,38967,-661,-57813,-12211,-67339,1542993,342704,-9768,41250,57670,-5766,-1092150,-175029,-26377,-53554,-18067,-68206,2057996,-2635143,303737,-517733,-9107,-16609,99063,-94804,69881,-75737,61573,-62440,difficult
169508,74117,27197,11613,11055,21423,-115879,-72472,-21823,-5158,-1826,-14546,-148156,-44220,-19798,5047,-5033,-9533,543048,65434,-13066,-4903,5730,-10611,-32277,691204,28252,109654,2025,6732,10205,-9950,-3207,10763,5013,-1078,easy
1227939,146485,36295,17526,20669,35087,541982,-35405,-20557,9840,35954,16698,-746081,-10702,-12995,-14031,-15706,-24162,-1221744,-113241,-22866,3871,15695,24475,-1288063,-475663,24703,-102539,7562,-9871,-23871,17902,-51660,31401,-40860,48637,difficult
299427,55404,12671,11488,10714,13085,-192789,-12556,-7647,-3429,-2245,-9052,1607555,137893,4084,201,10281,4897,-145490,-5427,327,11048,-8270,-10737,1800344,-1753045,150449,-143320,11731,-3757,3630,10847,12526,-18551,13949,-15634,easy
168785,79210,33534,20252,34625,33281,223941,37080,-16581,1442,-23060,-25969,422824,52599,-26262,-4188,-20496,16082,-108236,-7992,-19379,-11758,1126,5822,198883,-531060,15519,-60591,-9681,6883,-5630,-7570,2564,21622,42051,-10260,difficult
835168,144256,13902,20455,9076,16064,1225279,822421,5133,1082,16424,37468,-321863,-87645,-3201,5315,36417,-10694,-746447,-118599,-850,-14069,12864,-3183,-1547142,-424584,-910066,-30954,-8334,2351,4233,-19384,19993,-23553,-48162,7511,easy
554271,248772,33312,19879,40515,24970,288590,390778,2808,-11847,-14505,-2180,-182854,-219562,-21317,-11365,-35322,-12125,-306876,-44969,-17707,523,-29694,35133,-471444,-124022,-610340,174593,-24125,3610,482,11888,-20817,5628,-9945,47258,difficult
