delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
678453,158115,27093,8472,9890,9419,10643,8065,21307,-139103,-23593,536,1853,11829,12057,3601,104709,533877,-22633,6415,9837,17425,13369,1894,-343760,-83014,-24880,-4195,-7688,-6910,-8492,-5785,-575772,-130921,-25763,-7961,-6613,-6032,-9189,-7293,270985,50915,-14480,37663,-2982,1396,652,1500,easy
691354,232643,29567,14050,12829,23439,16459,13918,-623094,-219797,-27302,-5614,-1776,-12983,14616,-6455,-631126,-196250,-28854,-11763,-9868,-9365,-12823,-2018,-312903,-170073,-8350,-968,-3938,13073,11530,320,-169022,-156102,-24241,-7350,-9118,-15734,-9738,-10970,146204,147425,4305,112311,41312,31807,24811,13578,difficult
1269582,181270,25077,6781,11573,28703,29028,14852,-753368,-91282,7113,-749,-5901,-17864,-8167,-7529,-1111326,-138014,-21129,-2255,-6066,20679,-23618,-12664,-105892,167623,-11785,88317,17401,29367,135728,26036,537190,328989,69244,4406,50883,19301,-1518,7201,-1240189,-166733,-16747,-5547,-10800,-26427,-26048,-13043,easy
942223,283666,43469,54839,20221,44775,32059,18205,-38790,-153204,-1890,9168,-17110,-19788,17121,-4579,-145272,-162971,-35106,-49374,-18286,-40566,-27793,-14711,-62690,113182,-13726,-44000,-2803,-32971,-22824,-9007,461394,461006,146973,167053,-11287,41699,11095,9527,1808725,-9446,-34649,66638,3784,40810,93333,17227,difficult
1384311,79504,28304,10373,11818,21442,8113,7361,-1293619,-35636,3089,8528,-1563,42730,13650,11696,-1341492,-56767,-19043,-8659,-11120,-20255,-6235,-6809,-1094330,1738,-8886,7915,-6508,-14346,11975,-2472,-1129906,11832,-17444,-1328,708,-12754,540,-2626,-773429,52835,5334,5055,-1907,-10859,2202,-3327,easy
1022701,116828,29798,6397,13002,12855,9351,12507,707150,81986,-17500,487,14608,2743,12275,-7506,-184335,-69647,-9683,16275,10206,13031,13494,-5429,177487,233095,222996,33299,36834,47799,126172,15188,-116211,-89452,-9593,9213,-1464,-9161,-6373,-9105,-386232,-19207,-8861,6038,-3769,-4077,3107,-5206,difficult
546732,98715,18329,33326,16603,18218,10258,5491,-332497,-38413,2678,-26003,-13850,-7544,-4481,4066,-497479,-64264,6753,-16278,7577,5823,6565,30850,-267484,-32437,-5952,-23984,-4596,-4168,22345,-1017,-242711,22329,74516,-22608,-3577,-1303,-1407,623,1340125,156744,10088,-13360,-3141,-13524,-1893,2317,easy
642291,150357,19533,14109,15518,19997,23154,9413,235158,499099,214459,125359,27366,60983,31489,43633,-452645,-89964,-12780,6298,-9136,-11878,-20685,-6302,-131979,88489,10505,-8060,-2628,-9086,-3316,-4238,1439495,290599,137965,57989,65542,93267,93384,34598,-597226,2473,-14363,-445,-12586,-11960,-20214,-6840,difficult
869940,572411,85716,30394,34249,34415,29265,44688,-160133,-307949,-25357,-1932,-31080,-22533,-17485,-27346,-638332,-516670,-40332,-26960,-21423,-25452,-16515,-30601,-273446,-557852,-75318,-29191,-33536,-31246,-20485,-43382,2472212,220416,-10772,47061,26839,16900,146034,-28160,64627,-486880,-66572,-19929,-25027,-27054,-21075,-41640,easy
845258,237989,94528,60169,15184,32874,32290,20396,-408307,-189115,-87334,-40356,-11884,-26409,-9100,-14630,-800854,-209960,-72948,-48623,-12745,-21104,-24140,-18433,371430,-85952,-26272,-43468,3032,-12594,-22164,-11681,670668,189065,-26628,-23541,44689,34093,-1552,8607,-704561,-206567,-87469,-54981,-9721,-24768,-27288,-17432,difficult
