delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
169508,74117,27197,11613,11055,21423,14933,5758,-115879,-72472,-21823,-5158,-1826,-14546,-11644,-3571,-148156,-44220,-19798,5047,-5033,-9533,-1027,-926,543048,65434,-13066,-4903,5730,-10611,-7090,-2831,easy
1227939,146485,36295,17526,20669,35087,46090,18244,541982,-35405,-20557,9840,35954,16698,-4954,6065,-746081,-10702,-12995,-14031,-15706,-24162,-44187,-16540,-1221744,-113241,-22866,3871,15695,24475,-27637,-9607,difficult
299427,55404,12671,11488,10714,13085,13674,7688,-192789,-12556,-7647,-3429,-2245,-9052,-10635,-5125,1607555,137893,4084,201,10281,4897,-1963,601,-145490,-5427,327,11048,-8270,-10737,-12216,-6496,easy
168785,79210,33534,20252,34625,33281,20894,8884,223941,37080,-16581,1442,-23060,-25969,-15917,-6474,422824,52599,-26262,-4188,-20496,16082,-3521,3506,-108236,-7992,-19379,-11758,1126,5822,-2922,5847,difficult
835168,144256,13902,20455,9076,16064,10871,5996,1225279,822421,5133,1082,16424,37468,4376,21531,-321863,-87645,-3201,5315,36417,-10694,-2911,31385,-746447,-118599,-850,-14069,12864,-3183,5795,11162,easy
554271,248772,33312,19879,40515,24970,12834,14390,288590,390778,2808,-11847,-14505,-2180,-7271,-7688,-182854,-219562,-21317,-11365,-35322,-12125,1373,-10096,-306876,-44969,-17707,523,-29694,35133,3397,1878,difficult
426051,122900,17339,11767,11970,16871,8043,10261,-382498,-94233,-12794,-9421,-4809,-7097,-3651,-8335,-234335,-68280,-11618,-1762,-3417,131,-419,-6514,-334433,-105827,-16158,-10517,-8781,-14146,-5510,-8255,easy
341785,79232,12141,21017,8845,17321,7684,4877,1995503,26643,-226,-5856,4794,555,-1298,-1312,-293147,-59146,-8209,-20055,-7124,-15046,-5628,-3035,-246615,-37741,-5137,-17178,-5366,-5415,7856,4442,difficult
747843,63517,32754,31931,20006,35506,37573,18950,-735921,-28818,-24437,-28175,-13595,-24800,-17426,-15346,-518965,-26611,-25660,-29959,-15012,-24099,-25340,-13264,-289857,19986,-26737,-27354,-14671,-24083,-8421,-9768,easy
461717,187357,11173,18547,12482,20904,11110,14549,-300477,-163016,-6205,-17339,-8944,-15627,-9170,-11305,-406418,-153127,-10124,-17333,-11658,-17857,-9626,-11842,288488,-125193,15135,-13824,-303,22122,11459,8044,difficult
665148,255413,51349,10135,10895,57017,36341,9559,1398170,-169469,-24482,6451,15609,-21487,-28487,-737,-610086,-250924,-49930,-6832,-9969,-55210,-34917,-8404,-518873,-183278,-17517,8594,2333,-25206,-26097,8366,easy
670660,199428,52458,16446,23631,30341,48785,27320,-577679,-45825,-42901,792,-17018,-24829,-44453,-23621,-636470,-169981,-38311,-14264,-16339,-25674,-46818,-25541,-353484,-124576,-23553,1917,-2114,-12560,-42258,-22390,difficult
448483,32883,7075,6885,5066,3218,1449,1566,690998,50750,-162,8599,31015,16807,5755,2776,-393239,-26854,-6631,-5876,-3886,-1021,186,-214,57478,3625,2078,15166,2027,13187,5838,901,easy
467769,103700,53028,39690,26022,41729,34363,21298,-296956,-42188,-50693,-17260,-21665,-33126,-29552,-18137,-210963,34770,-40099,-7337,-16874,-3392,-8301,-9608,-96138,107054,-40646,-15484,12922,-16670,-23322,-16445,difficult
438635,52629,26458,22257,26943,30965,25500,11732,-432740,-37923,-21999,-5352,5979,9661,10727,-480,-350992,-5032,-17435,-17971,-16185,10043,-18332,-7623,74108,-15588,9350,-15913,-6949,15083,12469,11058,easy
397495,69658,11409,13575,11000,26954,23483,11665,713813,10567,25894,-7072,2438,-1754,-5405,28468,261832,36450,26537,1527,-1439,-8615,3703,-1106,-305431,-56920,1408,-7702,-8357,-20297,-19718,-8467,difficult
530484,256610,62239,21808,13321,30915,43061,21347,479594,598594,68092,7381,101567,27971,21356,6049,-290999,-172905,-23319,4944,3451,-7899,-3067,1840,-506925,-248644,-58099,-9399,3753,186,4644,-10231,easy
487363,64911,11953,22090,16788,23618,24208,16999,595830,61819,-4415,40851,1667,29366,17435,2163,-473712,-60118,-9148,-21274,-12294,-7006,-17830,-14528,-177940,-51331,-11292,-21244,-15629,-19621,-21977,-15261,difficult
