delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
109315,37397,10868,22126,6514,26138,142957,20376,-9904,-19337,-4591,-20762,-47961,-27228,-317,33284,-575,-8333,-100476,-4495,13801,-5797,1420,4978,-78492,-3396,6902,-13061,-2288,20656,-190918,-52515,21984,-47604,22733,1099,9587,14118,-6899,52621,-39081,-7264,4016,1995,-3708,12429,13311,15678,easy
139233,21369,10093,13725,3841,11637,-132333,683,5383,-1125,1376,18240,-128276,-16576,2108,-11703,744,-1128,-136070,-13052,-5910,6804,1877,11879,-134182,-19145,12211,-8116,-399,5672,4057,-7794,1888,-17259,3524,-6093,-3275,-8018,18121,-10578,18507,-14920,-632,1133,-2276,-19368,13007,-6207,difficult
99102,40371,20319,26412,13648,27771,-61824,-13091,-17486,-16197,-1341,5160,-92934,-29050,-15243,-12319,447,2504,-90878,-29561,-779,-19845,561,30092,-97508,-25997,-8652,-22743,-12721,8272,-31110,2056,-6630,-15959,-511,3564,2243,14464,-7873,3878,-7526,-2898,1788,114,-13282,-2656,27588,-21820,easy
18763,19260,18580,13408,10067,13915,29069,-7026,-12679,-10117,-8177,-10706,38181,25315,-7584,-9400,-9263,-5138,15741,-6705,-13941,5623,-7,3257,312253,58782,-7608,58053,-4424,3009,9112,-22440,296512,32341,-32020,65487,5095,-6357,6333,717,15023,52430,-1086,9256,-4417,5568,8395,-248,difficult
36091,11483,6369,4718,2372,5452,-20879,6576,6674,17222,7176,3057,-20827,-5535,3283,3491,2222,16258,-34193,-5876,11793,10378,2248,26739,63868,17873,-4821,7310,5799,-998,52,-13366,98061,-12111,-341,23749,-3391,8510,-16614,-13731,6887,-3068,-4954,26,3551,13201,10481,-27737,easy
157052,30043,5869,5294,5550,10645,-150444,-21221,-5536,4811,-912,8617,-140313,-20424,882,12762,-4473,43336,-152666,-24424,-18,294,-2004,24473,-113749,-11447,17911,35083,14866,8563,10131,-12353,38917,797,-4000,12977,6418,-900,17929,7951,-12468,34789,-3561,2469,16870,34719,-18863,-15910,difficult
88124,38159,8183,13532,6095,13066,-53038,-25840,31322,-4473,5276,2615,-51082,-23297,2599,287,-2660,-3504,-72267,2568,1538,-10375,1982,-1939,-63810,-33515,-6865,-12895,-4826,-9250,1956,-21185,8457,2543,25865,-36083,-28723,-1061,-8403,4760,-10662,-2520,-7936,4642,-6808,-6119,1565,-7311,easy
497808,70913,8657,17163,20645,16357,-488080,-54015,-6558,-15561,-17829,-8010,-487881,-56748,9014,-9672,-12319,-6622,-476294,-61633,-4810,-5822,-18446,32123,-492591,-63029,7276,-3042,-13525,2752,199,11587,-16297,-2733,-4885,-1396,15572,-13824,12086,5889,3850,2780,5510,-6127,4921,1388,38745,-29371,difficult
55858,9456,10112,19416,4606,19368,-26524,-4510,20935,10754,3523,-6018,-32693,7970,-4365,-13517,2639,1382,-48166,21111,-2264,10169,2636,5043,-50628,4932,5161,-14687,2919,4347,-6169,-15473,-2462,12480,13141,-16179,-25300,2101,7425,-24271,23686,-24856,-884,-3,283,7400,3661,-696,easy
438455,130592,9445,16255,13665,15580,-433297,-119297,12390,6261,-7983,24051,-432541,-117816,-222,-9474,-5075,7091,-432829,-109446,19239,-10193,-11025,15136,-425549,-124385,-5339,6822,-9767,17006,756,-288,7280,1481,8370,-14939,-12612,19461,-24578,-15735,-719,17015,2908,-5950,1258,-16960,8045,1870,difficult
260906,27808,5246,2412,3916,10525,-244369,-15601,2788,15591,-202,5028,-246391,-18700,4216,6052,-1222,4632,-252909,-7833,-2130,4377,13119,1780,-177334,-10354,19037,13097,8850,15885,-2022,-6518,75575,-3099,10867,-2521,1428,-6346,21167,-9539,-1675,8720,-1020,14341,-4269,-396,-2852,14105,easy
285215,117659,31502,11596,14265,12620,-157334,-99438,-27449,-7424,-9736,-11263,-252959,-81424,-15378,7617,9541,2697,-218195,-61450,27085,25086,-4830,16914,676435,23559,-19047,13210,-6403,2029,-95625,34764,894630,18014,19974,85009,12071,42463,-46132,15041,17469,-11876,19277,-14371,-1573,13960,14217,-14885,difficult
235297,100500,11394,21436,6970,18629,-152739,-30748,-4337,-12759,-1925,-13380,217240,1858,29192,16844,13642,4035,-222170,-91604,-5453,5472,9783,-8791,5270,-25814,-5826,-19050,-3157,-6724,369979,-439410,227440,32606,-93462,65790,33529,-34645,-373,29603,-11372,-24522,15567,-3859,-12940,17415,-12826,2067,easy
52360,22426,10496,4779,2701,6466,32229,-20309,-10097,-3825,-1163,-5800,-8844,4412,-5427,-2352,1069,4772,-44639,8479,-8157,5244,3474,35138,-27097,-7536,-3626,7987,5509,22798,-41073,-35795,17542,24721,4067,-16015,4670,-2730,4531,1473,7596,2743,2232,2405,2035,10572,30366,-12340,difficult
40847,44620,6234,14251,6591,16811,-32462,-28085,2968,-4564,-4371,20252,-27429,-31799,5750,-9912,-2316,2598,-37580,-25053,-943,3873,-2293,-6529,-23746,-18243,-3442,-12560,1387,-1709,5033,-10151,13834,-3714,6746,6810,2782,-6693,-2499,-5348,13785,-16433,2055,23,3680,-17654,-9127,4820,easy
124440,44245,5416,6946,4459,18879,-105552,-33696,3520,-5464,-1461,790,733407,18793,19842,9294,5140,-287,-114800,-11499,-2851,2614,-1023,41807,-65535,-23387,5845,1007,-1374,-3146,838959,-848207,49265,52489,-30292,-11888,16322,-22693,8696,14758,-6680,-1607,6601,-6163,-351,-1077,42094,-44953,difficult
