delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
1603230-83539-155608-22182-842343-482940-83175-511032,161212-30858-72170-7077-184103-248748-17032-146646,59526-24295-18571-8137-99900-65792-11642-47263,21913-10542-26118-1917-89724-45995-76733-24206,44626-11016-10094-6107-67965-34115-24363-12021,60480-12881-7250-3593-87366-54553-30027-23400,17191-6401-8478-3165-32706-21560-14970-13002,20263-4878-1521-1686-27451-9662-6799-3824,easy
83539-155608-22182-842343-482940-83175-511032-945530,30858-72170-7077-184103-248748-17032-146646-479337,24295-18571-8137-99900-65792-11642-47263-28906,10542-26118-1917-89724-45995-76733-24206-86538,11016-10094-6107-67965-34115-24363-12021-21568,12881-7250-3593-87366-54553-30027-23400-29367,6401-8478-3165-32706-21560-14970-13002-32855,4878-1521-1686-27451-9662-6799-3824-31274,easy
155608-22182-842343-482940-83175-511032-945530-127311,72170-7077-184103-248748-17032-146646-479337-14704,18571-8137-99900-65792-11642-47263-28906-2333,26118-1917-89724-45995-76733-24206-86538-3737,10094-6107-67965-34115-24363-12021-21568-2053,7250-3593-87366-54553-30027-23400-29367-2224,8478-3165-32706-21560-14970-13002-32855-6659,1521-1686-27451-9662-6799-3824-31274-1450,easy
22182-842343-482940-83175-511032-945530-127311-80230,7077-184103-248748-17032-146646-479337-14704-22871,8137-99900-65792-11642-47263-28906-2333-2457,1917-89724-45995-76733-24206-86538-3737-14274,6107-67965-34115-24363-12021-21568-2053-5849,3593-87366-54553-30027-23400-29367-2224-13334,3165-32706-21560-14970-13002-32855-6659-7729,1686-27451-9662-6799-3824-31274-1450-2510,easy
842343-482940-83175-511032-945530-127311-80230-611166,184103-248748-17032-146646-479337-14704-22871-268493,99900-65792-11642-47263-28906-2333-2457-26653,89724-45995-76733-24206-86538-3737-14274-34139,67965-34115-24363-12021-21568-2053-5849-11702,87366-54553-30027-23400-29367-2224-13334-65045,32706-21560-14970-13002-32855-6659-7729-32605,27451-9662-6799-3824-31274-1450-2510-9747,easy
482940-83175-511032-945530-127311-80230-611166-353943,248748-17032-146646-479337-14704-22871-268493-132670,65792-11642-47263-28906-2333-2457-26653-21175,45995-76733-24206-86538-3737-14274-34139-35110,34115-24363-12021-21568-2053-5849-11702-18898,54553-30027-23400-29367-2224-13334-65045-7530,21560-14970-13002-32855-6659-7729-32605-2495,9662-6799-3824-31274-1450-2510-9747-4157,easy
83175-511032-945530-127311-80230-611166-353943-8965,17032-146646-479337-14704-22871-268493-132670-7383,11642-47263-28906-2333-2457-26653-21175-1133,76733-24206-86538-3737-14274-34139-35110-2588,24363-12021-21568-2053-5849-11702-18898-3310,30027-23400-29367-2224-13334-65045-7530-2463,14970-13002-32855-6659-7729-32605-2495-1526,6799-3824-31274-1450-2510-9747-4157-1069,easy
511032-945530-127311-80230-611166-353943-8965-7031,146646-479337-14704-22871-268493-132670-7383-7026,47263-28906-2333-2457-26653-21175-1133-8461,24206-86538-3737-14274-34139-35110-2588-13735,12021-21568-2053-5849-11702-18898-3310-8818,23400-29367-2224-13334-65045-7530-2463-10215,13002-32855-6659-7729-32605-2495-1526-2324,3824-31274-1450-2510-9747-4157-1069-1167,easy
945530-127311-80230-611166-353943-8965-7031-22355,479337-14704-22871-268493-132670-7383-7026-11257,28906-2333-2457-26653-21175-1133-8461-4492,86538-3737-14274-34139-35110-2588-13735-9651,21568-2053-5849-11702-18898-3310-8818-12643,29367-2224-13334-65045-7530-2463-10215-6398,32855-6659-7729-32605-2495-1526-2324-3096,31274-1450-2510-9747-4157-1069-1167-644,hard
127311-80230-611166-353943-8965-7031-22355-11184,14704-22871-268493-132670-7383-7026-11257-26003,2333-2457-26653-21175-1133-8461-4492-7668,3737-14274-34139-35110-2588-13735-9651-10030,2053-5849-11702-18898-3310-8818-12643-8264,2224-13334-65045-7530-2463-10215-6398-4215,6659-7729-32605-2495-1526-2324-3096-9274,1450-2510-9747-4157-1069-1167-644-1501,easy
