delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
107262-30864-6962-40092-99206-18386-13688-43962,42711-15894-21012-31760-51103-53828-42253-33919,10384-8715-3839-14623-4314-5091-4185-11701,29123-8787-21907-7884-2320-6895-11319-17799,11642-9356-16438-9433-12208-10224-8326-5630,5332-4936-6888-6156-4117-5245-11266-3739,5495-3000-4441-4967-4126-5177-3462-8148,2043-3660-1788-2712-1964-2992-1515-6459,easy
30864-6962-40092-99206-18386-13688-43962-10235,15894-21012-31760-51103-53828-42253-33919-8612,8715-3839-14623-4314-5091-4185-11701-12566,8787-21907-7884-2320-6895-11319-17799-18934,9356-16438-9433-12208-10224-8326-5630-10496,4936-6888-6156-4117-5245-11266-3739-6701,3000-4441-4967-4126-5177-3462-8148-3559,3660-1788-2712-1964-2992-1515-6459-5684,easy
6962-40092-99206-18386-13688-43962-10235-28160,21012-31760-51103-53828-42253-33919-8612-4560,3839-14623-4314-5091-4185-11701-12566-1118,21907-7884-2320-6895-11319-17799-18934-9824,16438-9433-12208-10224-8326-5630-10496-2956,6888-6156-4117-5245-11266-3739-6701-5042,4441-4967-4126-5177-3462-8148-3559-5915,1788-2712-1964-2992-1515-6459-5684-3878,easy
40092-99206-18386-13688-43962-10235-28160-36067,31760-51103-53828-42253-33919-8612-4560-34137,14623-4314-5091-4185-11701-12566-1118-1787,7884-2320-6895-11319-17799-18934-9824-6497,9433-12208-10224-8326-5630-10496-2956-2615,6156-4117-5245-11266-3739-6701-5042-6070,4967-4126-5177-3462-8148-3559-5915-1316,2712-1964-2992-1515-6459-5684-3878-4513,easy
99206-18386-13688-43962-10235-28160-36067-19510,51103-53828-42253-33919-8612-4560-34137-31070,4314-5091-4185-11701-12566-1118-1787-11365,2320-6895-11319-17799-18934-9824-6497-6824,12208-10224-8326-5630-10496-2956-2615-9567,4117-5245-11266-3739-6701-5042-6070-6576,4126-5177-3462-8148-3559-5915-1316-2542,1964-2992-1515-6459-5684-3878-4513-1476,easy
18386-13688-43962-10235-28160-36067-19510-14534,53828-42253-33919-8612-4560-34137-31070-12423,5091-4185-11701-12566-1118-1787-11365-7175,6895-11319-17799-18934-9824-6497-6824-30427,10224-8326-5630-10496-2956-2615-9567-8528,5245-11266-3739-6701-5042-6070-6576-10899,5177-3462-8148-3559-5915-1316-2542-5429,2992-1515-6459-5684-3878-4513-1476-3481,easy
13688-43962-10235-28160-36067-19510-14534-8029,42253-33919-8612-4560-34137-31070-12423-13288,4185-11701-12566-1118-1787-11365-7175-26857,11319-17799-18934-9824-6497-6824-30427-8822,8326-5630-10496-2956-2615-9567-8528-3886,11266-3739-6701-5042-6070-6576-10899-8936,3462-8148-3559-5915-1316-2542-5429-6760,1515-6459-5684-3878-4513-1476-3481-4219,easy
43962-10235-28160-36067-19510-14534-8029-29265,33919-8612-4560-34137-31070-12423-13288-53589,11701-12566-1118-1787-11365-7175-26857-27794,17799-18934-9824-6497-6824-30427-8822-3015,5630-10496-2956-2615-9567-8528-3886-9870,3739-6701-5042-6070-6576-10899-8936-8252,8148-3559-5915-1316-2542-5429-6760-2879,6459-5684-3878-4513-1476-3481-4219-1880,easy
10235-28160-36067-19510-14534-8029-29265-8413,8612-4560-34137-31070-12423-13288-53589-7606,12566-1118-1787-11365-7175-26857-27794-6033,18934-9824-6497-6824-30427-8822-3015-30083,10496-2956-2615-9567-8528-3886-9870-9686,6701-5042-6070-6576-10899-8936-8252-10654,3559-5915-1316-2542-5429-6760-2879-3216,5684-3878-4513-1476-3481-4219-1880-1635,easy
28160-36067-19510-14534-8029-29265-8413-26335,4560-34137-31070-12423-13288-53589-7606-28671,1118-1787-11365-7175-26857-27794-6033-20862,9824-6497-6824-30427-8822-3015-30083-21437,2956-2615-9567-8528-3886-9870-9686-9288,5042-6070-6576-10899-8936-8252-10654-6447,5915-1316-2542-5429-6760-2879-3216-2290,3878-4513-1476-3481-4219-1880-1635-2686,easy
